"item_id","flow","step","title","schedule","status","source_url"
"bundle-moving-d30-s1-i1","이사 D-30 체크리스트","D-30 · 큰 결정과 예약","이사 방식과 이사업체 정하기","{""type"":""relative_to_target"",""offsetDays"":-30}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s1-i2","이사 D-30 체크리스트","D-30 · 큰 결정과 예약","새집 상태 확인하고 필요한 수리 잡기","{""type"":""relative_to_target"",""offsetDays"":-30}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s1-i3","이사 D-30 체크리스트","D-30 · 큰 결정과 예약","가져가지 않을 물건 처분 시작하기","{""type"":""relative_to_target"",""offsetDays"":-30}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s1-i4","이사 D-30 체크리스트","D-30 · 큰 결정과 예약","학교 전학과 돌봄 계획 세우기","{""type"":""relative_to_target"",""offsetDays"":-30}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s2-i1","이사 D-30 체크리스트","D-10 · 주소·서비스·짐 줄이기","우편·배송·전출 주소 변경하기","{""type"":""relative_to_target"",""offsetDays"":-10}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s2-i2","이사 D-30 체크리스트","D-10 · 주소·서비스·짐 줄이기","엘리베이터·사다리차·주차 예약하기","{""type"":""relative_to_target"",""offsetDays"":-10}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s2-i3","이사 D-30 체크리스트","D-10 · 주소·서비스·짐 줄이기","폐기물과 남은 짐 처리하기","{""type"":""relative_to_target"",""offsetDays"":-10}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s2-i4","이사 D-30 체크리스트","D-10 · 주소·서비스·짐 줄이기","냉장고 비우고 새집 물품 배치 정하기","{""type"":""relative_to_target"",""offsetDays"":-10}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s2-i5","이사 D-30 체크리스트","D-10 · 주소·서비스·짐 줄이기","인터넷·정수기 등 이전 신청하기","{""type"":""relative_to_target"",""offsetDays"":-10}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s3-i1","이사 D-30 체크리스트","D-3 · 해지와 당일 준비","도시가스 철거·설치 예약하기","{""type"":""relative_to_target"",""offsetDays"":-3}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s3-i2","이사 D-30 체크리스트","D-3 · 해지와 당일 준비","기존 집 자동이체 해지하기","{""type"":""relative_to_target"",""offsetDays"":-3}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s3-i3","이사 D-30 체크리스트","D-3 · 해지와 당일 준비","세탁기 배수하고 운반 상태 만들기","{""type"":""relative_to_target"",""offsetDays"":-3}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s3-i4","이사 D-30 체크리스트","D-3 · 해지와 당일 준비","임대차 권리 서류 확인하기","{""type"":""relative_to_target"",""offsetDays"":-3}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s3-i5","이사 D-30 체크리스트","D-3 · 해지와 당일 준비","당일 바로 쓸 짐을 따로 싸기","{""type"":""relative_to_target"",""offsetDays"":-3}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s4-i1","이사 D-30 체크리스트","D-1 · 돈·귀중품·인계 확인","당일 일정·송금 한도·잔금 확인하기","{""type"":""relative_to_target"",""offsetDays"":-1}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s4-i2","이사 D-30 체크리스트","D-1 · 돈·귀중품·인계 확인","출발지·도착지 주차 다시 확인하기","{""type"":""relative_to_target"",""offsetDays"":-1}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s4-i3","이사 D-30 체크리스트","D-1 · 돈·귀중품·인계 확인","귀중품과 중요서류 직접 보관하기","{""type"":""relative_to_target"",""offsetDays"":-1}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
"bundle-moving-d30-s4-i4","이사 D-30 체크리스트","D-1 · 돈·귀중품·인계 확인","열쇠·리모컨·비밀번호 인계 준비하기","{""type"":""relative_to_target"",""offsetDays"":-1}","not_started","https://www.ajd.co.kr/contents/basic-tip/detail/%EC%9D%B4%EC%82%AC_%EC%A4%80%EB%B9%84_%EC%B2%B4%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8A%B8_2024_%EC%99%84%EB%B2%BD%EC%A0%95%EB%A6%AC!-23363"
