순서	상태	할 일	날짜	시간	예상 시간	시간대	반복	메모	원문	설명	완료 기준	실행 메모	항목 주의	계획 주의	자료	계획 원문 이름	계획 원문 URL
1	미완료	이사 방식 정하기	2031-08-02	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	포장이사, 반포장이사, 직접 운반 중 예산과 짐 양에 맞는 방식을 정합니다.						이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
2	미완료	이사할 집 하자 점검하기	2031-08-02	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	입주 전 벽지, 누수, 배수, 콘센트, 창문, 도어락 상태를 사진으로 남깁니다.	주요 공간 사진과 하자 목록을 집주인 또는 중개인에게 공유했다.					이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
3	미완료	필요 없는 물건 정리하기	2031-08-02	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
4	미완료	이사/청소 업체 견적 받고 예약하기	2031-08-02	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
5	미완료	우편물/카드/은행 주소 변경하기	2031-08-22	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
6	미완료	정기 배달 서비스 중지 요청하기	2031-08-22	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
7	미완료	대형폐기물 배출 신고와 수거일 확인하기	2031-08-22	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363	지자체 신고 방식과 수거일이 다르므로 이사 전 배출 가능한 날짜를 먼저 확인합니다.	배출 신고 번호와 수거 예정일을 기록했다.					이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
8	미완료	엘리베이터 또는 사다리차 사용 예약하기	2031-08-22	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
9	미완료	인터넷/정수기 이전 설치 예약하기	2031-08-22	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
10	미완료	도시가스 철거/설치 예약하기	2031-08-29	종일					이사 체크리스트 참고 https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363							이사 체크리스트 참고	https://www.ajd.co.kr/contents/basic-tip/detail/이사_준비_체크리스트_완벽정리!_엑셀_Xls_PDF_노션_notion_첨부-23363
